Symbol	HitsOnWSB	Company Name	industry	"Market Cap
"
TCPC	0	Blackrock TCP Capital	Capital Markets	"787.37M
"
TCRR	0	TCR2 Therapeutics	Biotechnology	"135.68M
"
TCRX	0	TScan Therapeutics	Biotechnology	"111.47M
"
TCS	0	The Container Store Group	Specialty Retail	"515.58M
"
TCVA	0	TCV Acquisition	Blank Check / SPAC	"493.63M
"
TCX	0	Tucows	IT Services	"842.06M
"
TDCX	0	"""TDCX, Inc."""	Specialty Business Services	"2.48B
"
TDUP	0	ThredUp	Internet Retail	"939.82M
"
TDW	0	Tidewater	Energy Equipment & Services	"617.54M
"
TDY	0	Teledyne Technologies	Aerospace & Defense	"19.70B
"
TECK	0	Teck Resources	Metals & Mining	"17.28B
"
TEDU	0	Tarena International	Diversified Consumer Services	"26.37M
"
TEF	0	Telefonica	Diversified Telecommunication Services	"26.17B
"
TEKK	0	Tekkorp Digital Acquisition	Blank Check / SPAC	"306.25M
"
TEL	0	TE Connectivity	"""Electronic Equipment, Instruments & C..."""	"46.59B
"
TELA	0	TELA Bio	Health Care Equipment & Supplies	"171.80M
"
TENB	0	Tenable Holdings	Software	"5.58B
"
TENX	0	Tenax Therapeutics	Biotechnology	"17.14M
"
TEO	0	Telecom Argentina	Diversified Telecommunication Services	"2.21B
"
TER	0	Teradyne	Semiconductors & Semiconductor Equipment	"19.05B
"
TERN	0	Terns Pharmaceuticals	Biotechnology	"144.53M
"
TESS	0	TESSCO Technologies	Communications Equipment	"52.19M
"
TETC	0	Tech & Energy Transition	Blank Check / SPAC	"466.33M
"
TETE	0	Technology & Telecommunication Acquisition	Blank Check / SPAC	"130.38M
"
TEX	0	Terex	Machinery	"3.01B
"
TFC	0	Truist Financial	Banks	"85.01B
"
TFFP	0	TFF Pharmaceuticals	Pharmaceuticals	"145.89M
"
TFII	0	TFI International	Road & Rail	"9.32B
"
TFSL	0	TFS Financial	Thrifts & Mortgage Finance	"4.90B
"
TFX	0	Teleflex	Health Care Equipment & Supplies	"14.50B
"
TGA	0	TransGlobe Energy	"""Oil, Gas & Consumable Fuels"""	"231.41M
"
TGAA	0	Target Global Acquisition I	Blank Check / SPAC	"249.75M
"
TGB	0	Taseko Mines	Metals & Mining	"556.55M
"
TGLS	0	Tecnoglass	Construction Materials	"1.01B
"
TGNA	0	Tegna	Media	"4.40B
"
TGS	0	Transportadora de Gas del Sur	"""Oil, Gas & Consumable Fuels"""	"748.24M
"
TGVC	0	TG Venture Acquisition	Blank Check / SPAC	"142.08M
"
TH	0	Target Hospitality	"""Hotels, Restaurants & Leisure"""	"338.10M
"
THAC	0	Thrive Acquisition	Blank Check / SPAC	"186.94M
"
THCA	0	Tuscan Holdings II	Shell Companies	"175.39M
"
THCP	0	Thunder Bridge Capital Partners IV	Blank Check / SPAC	"293.98M
"
THFF	0	First Financial	Banks	"573.44M
"
THM	0	International Tower Hill Mines	Metals & Mining	"144.35M
"
THMO	0	ThermoGenesis Holdings	Health Care Equipment & Supplies	"10.30M
"
THO	0	Thor Industries	Automobiles	"5.35B
"
THR	0	Thermon Group Holdings	Electrical Equipment	"587.48M
"
THRM	0	Gentherm	Auto Components	"2.94B
"
THRN	0	Thorne HealthTech	Packaged Foods	"286.37M
"
THRX	0	Theseus Pharmaceuticals	Biotechnology	"376.58M
"
THRY	0	Thryv Holdings	Media	"1.11B
"
THS	0	TreeHouse Foods	Food Products	"2.10B
"
THTX	0	Theratechnologies	Biotechnology	"308.19M
"
TIG	0	Trean Insurance Group	Biotechnology	"412.98M
"
TIGO	0	Millicom International Cellular	Wireless Telecommunication Services	"2.69B
"
TIGR	0	UP Fintech Holding	Capital Markets	"719.32M
"
TILE	0	Interface	Commercial Services & Supplies	"792.52M
"
TIMB	0	TIM S.A.	Telecom Services	"6.02B
"
TINV	0	Tiga Acquisition	Blank Check / SPAC	"350.86M
"
TIOA	0	Tio Tech A	Blank Check / SPAC	"420.90M
"
TIPT	0	Tiptree	Insurance	"433.92M
"
TIRX	0	Tian Ruixiang Holdings	Insurance Brokers	"16.61M
"
TISI	0	"""Team, Inc."""	Commercial Services & Supplies	"23.60M
"
TITN	0	Titan Machinery	Trading Companies & Distributors	"708.68M
"
TIVC	0	Tivic Health Systems	Medical Devices	"16.61M
"
TIXT	0	TELUS International	Software-Infrastructure	"7.69B
"
